name,source,gender,wikidata,type
Agnes-Bernauer-Platz,wikidata,F,Q76443,way
Agnes-Bernauer-Straße,wikidata,F,Q76443,way
Amalie-Nacken-Straße,wikidata,F,Q453072,way
Anneliese-Fleyenschmidt-Straße,wikidata,F,Q566143,way
Annemarie-Renger-Straße,wikidata,F,Q66138,way
Annette-von-Aretin-Straße,wikidata,F,Q91602,way
Anni-Albers-Straße,wikidata,F,Q86078,way
Carlamaria-Heim-Straße,wikidata,F,Q1041582,way
Christl-Marie-Schultes-Weg,wikidata,F,Q22693865,way
Droste-Hülshoff-Straße,wikidata,F,Q57307,way
Elisabeth-Castonier-Platz,wikidata,F,Q96343,way
Ellis-Kaut-Straße,wikidata,F,Q106391,way
Emilie-Mauerer-Straße,wikidata,F,Q1337340,way
Franziska-Bilek-Weg,wikidata,F,Q1450088,way
Gunta-Stölzl-Straße,wikidata,F,Q73085,way
Helene-Mayer-Ring,wikidata,F,Q61006,way
Hildegard-von-Bingen-Anger,wikidata,F,Q70991,way
Ida-Schumacher-Weg,wikidata,F,Q125887,way
Ilse-Weber-Straße,wikidata,F,Q435131,way
Karolinenplatz,wikidata,F,Q170195,way
Katharina-von-Bora-Straße,wikidata,F,Q77239,way
Kollwitzstraße,wikidata,F,Q142472,way
Liesl-Karlstadt-Straße,wikidata,F,Q106393,way
Lillian-Board-Weg,wikidata,F,Q261948,way
Lilly-Reich-Straße,wikidata,F,Q64648,way
Lina-Meittinger-Straße,wikidata,F,Q1737292,way
Luise-Kiesselbach-Tunnel,wikidata,F,Q1876627,way
Margarethe-Selenka-Straße,wikidata,F,Q85253,way
Marianne-Brandt-Straße,wikidata,F,Q456521,way
Mariannenbrücke,wikidata,F,Q237706,way
Marienplatz,wikidata,F,Q345,relation+way
Menaristraße,wikidata,F,Q94777351,way
Oda-Schaefer-Weg,wikidata,F,Q96336,way
Petra-Moll-Weg,wikidata,F,Q63485594,way
Therese-Giehse-Allee,wikidata,F,Q69638,way
Therese-von-Bayern-Straße,wikidata,F,Q68918,way
Theresienhöhe,wikidata,F,Q233198,way
Viebigplatz,wikidata,F,Q71465,way
Ackermannstraße,wikidata,M,Q119495,way
Aldegreverstraße,wikidata,M,Q62514,way
Alfred-Arndt-Straße,wikidata,M,Q91895,way
Alpenveilchenstraße,wikidata,M,Q60808,way
Anglerstraße,wikidata,M,Q1488906,way
Anton-Will-Straße,wikidata,M,Q595537,way
Artur-Kutscher-Platz,wikidata,M,Q91863,way
August-Kühn-Straße,wikidata,M,Q124716,way
Baumgartnerstraße,wikidata,M,Q94763422,way
Becherstraße,wikidata,M,Q60808,way
Behamstraße,wikidata,M,Q507825,way
Ben-Chorin-Straße,wikidata,M,Q77448,way
Bergmannstraße,wikidata,M,Q20752138,way
Berlepschstraße,wikidata,M,Q764949,way
Bernd-Eichinger-Platz,wikidata,M,Q61881,way
Brantstraße,wikidata,M,Q60351,way
Brosamerstraße,wikidata,M,Q532091,way
Brundageplatz,wikidata,M,Q155928,relation+way
Burgkmairstraße,wikidata,M,Q313163,way
Candidstraße,wikidata,M,Q315803,way
Coubertinplatz,wikidata,M,Q82984,way
Curt-Mezger-Platz,wikidata,M,Q1145244,way
Desingweg,wikidata,M,Q569518,way
Dewetstraße,wikidata,M,Q547828,way
Dientzenhoferstraße,wikidata,M,Q61965,way
Diesterwegstraße,wikidata,M,Q77434,way
